index,Cinsiyet,Yaş Grubu,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi
0,Kadın,31-40,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,748266.4408792251,Büyük Şehir,Elektronik ve Teknolojik Ürünler,32010.900880746394,37.31064384539209,Etmiyor,obek_4,102.93690407211031
1,Erkek,>60,Evli,Lise Mezunu,Kendi İşinin Sahibi,246298.60960525135,Küçük Şehir,Spor Malzemeleri,4145.729891459555,11.554851278482953,Etmiyor,obek_5,82.17605294674753
2,Erkek,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,268582.7323598067,Küçük Şehir,Giyim,9924.379414041388,55.35323564012519,Ediyor,obek_8,141.66142572069913
3,Erkek,51-60,Evli,Lise Mezunu,Kendi İşinin Sahibi,327721.8378648961,Kırsal,Giyim,6417.780713890792,15.417239071602113,Etmiyor,obek_3,17.097397275443495
4,Erkek,31-40,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,397431.62694840436,Büyük Şehir,Giyim,7886.663060947731,14.689836728159081,Etmiyor,obek_3,20.470458651222398
5,Kadın,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,332489.3163713976,Büyük Şehir,Giyim,9218.994556543947,56.62686821154492,Etmiyor,obek_8,216.33220674960364
6,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,256538.8988096605,Kırsal,Ev ve Mobilya,6013.405491148544,15.929857208996124,Etmiyor,obek_3,19.248433752739615
7,Kadın,31-40,Bekar,Lise Mezunu,Kendi İşinin Sahibi,213630.35563580468,Küçük Şehir,Ev ve Mobilya,3960.3615165057804,8.913887093610748,Etmiyor,obek_5,102.39432295037186
8,Erkek,51-60,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,479593.47344691283,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,39574.60125764814,25.685714603992686,Etmiyor,obek_3,56.32289311604774
9,Kadın,51-60,Evli,Üniversite Mezunu,Emekli,477359.7755865897,Küçük Şehir,Giyim,41555.83229322247,27.871027218331847,Etmiyor,obek_6,44.83875817600145
10,Erkek,51-60,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,213570.56060992114,Büyük Şehir,Spor Malzemeleri,4542.8251141355695,9.85418818779439,Etmiyor,obek_5,112.36856261684169
11,Erkek,41-50,Evli,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,312415.3754633983,Küçük Şehir,Giyim,5177.638810322448,2.542250968880422,Etmiyor,obek_1,8.038985134741464
12,Erkek,>60,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,344598.47895016114,Küçük Şehir,Elektronik ve Teknolojik Ürünler,27606.721474538732,18.389469256604286,Etmiyor,obek_7,78.86103578361593
13,Erkek,51-60,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,217216.07515382476,Köy veya Kasaba,Giyim,6673.257723184424,15.66804137929547,Etmiyor,obek_3,23.565999111063213
14,Erkek,>60,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,361022.4304911395,Köy veya Kasaba,Kozmetik,24707.682404493116,19.812912977836255,Etmiyor,obek_7,97.17941405480526
15,Erkek,31-40,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,234827.32213364082,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,3969.1050378924942,9.240842035215875,Etmiyor,obek_5,108.7336609832849
16,Erkek,18-30,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,332390.94118227385,Büyük Şehir,Elektronik ve Teknolojik Ürünler,25457.510643756887,25.301682522152305,Etmiyor,obek_7,102.50584718189262
17,Erkek,51-60,Evli,Yüksekokul Mezunu,Emekli,488521.8170974157,Köy veya Kasaba,Ev ve Mobilya,39621.4289408882,28.19453513618706,Etmiyor,obek_6,48.72546520411837
18,Erkek,51-60,Bekar,Üniversite Mezunu,Emekli,505257.44831280824,Köy veya Kasaba,Ev ve Mobilya,41729.16477702654,26.156977899933942,Etmiyor,obek_6,53.62175305179193
19,Erkek,31-40,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,493250.2540948588,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,40286.28055293564,29.67289533934147,Etmiyor,obek_6,42.966020704769626
20,Erkek,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,238806.1059310974,Köy veya Kasaba,Spor Malzemeleri,3641.9628810546933,9.649030715524733,Etmiyor,obek_5,108.26383277300508
21,Erkek,51-60,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,229107.73414163003,Büyük Şehir,Elektronik ve Teknolojik Ürünler,7062.53844477983,13.652708718002078,Etmiyor,obek_3,22.336539598561703
22,Kadın,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,269360.8417481529,Büyük Şehir,Giyim,9124.114232950458,48.47341994506956,Ediyor,obek_8,169.76308684122367
23,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,305712.1174506191,Büyük Şehir,Ev ve Mobilya,9115.882780080949,48.24484868343086,Ediyor,obek_8,183.1986030124291
24,Erkek,31-40,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,141995.91261503234,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,6679.541796482237,1.2296131376899693,Etmiyor,obek_4,9.90557852790909
25,Erkek,18-30,Bekar,Lise Mezunu,Kendi İşinin Sahibi,237309.65849869762,Büyük Şehir,Spor Malzemeleri,9179.558543425444,46.2073446432328,Ediyor,obek_8,194.46176106695754
26,Erkek,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,235677.03188948607,Küçük Şehir,Ev ve Mobilya,8905.950911532285,46.411087443616346,Ediyor,obek_8,124.35619400401524
27,Erkek,41-50,Evli,Lise Mezunu,Kendi İşinin Sahibi,309105.5385693228,Küçük Şehir,Ev ve Mobilya,7394.353722163559,15.290876468713817,Ediyor,obek_6,17.553763573806695
28,Erkek,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,264184.81408380304,Büyük Şehir,Spor Malzemeleri,9899.58415856513,51.67323898230526,Ediyor,obek_8,175.23167951140073
29,Kadın,>60,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,484971.25893049693,Kırsal,Giyim,39628.15208490155,25.998165250847748,Etmiyor,obek_6,44.87320016514699
30,Kadın,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,358613.75400788547,Küçük Şehir,Spor Malzemeleri,23674.047581432096,20.595784662245734,Etmiyor,obek_7,77.92571801535708
31,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,296415.3268185619,Küçük Şehir,Elektronik ve Teknolojik Ürünler,8648.245448980173,45.7985105983155,Etmiyor,obek_8,175.23479030035125
32,Erkek,18-30,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,231552.54623600683,Köy veya Kasaba,Spor Malzemeleri,5134.78144361523,15.86748452014238,Etmiyor,obek_3,21.180214698668273
33,Erkek,51-60,Bekar,Ortaokul Mezunu,Kendi İşinin Sahibi,197818.7807798279,Büyük Şehir,Giyim,6142.420820509958,5.462773627267599,Etmiyor,obek_1,10.985433591301486
34,Erkek,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,355795.17630514514,Büyük Şehir,Elektronik ve Teknolojik Ürünler,29477.42288573324,21.642710825926212,Etmiyor,obek_7,115.35231438985532
35,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,180379.99397728464,Küçük Şehir,Ev ve Mobilya,4094.579178782266,8.771150736447465,Etmiyor,obek_5,107.33020481186995
36,Erkek,>60,Evli,Doktora Ötesi,Kendi İşinin Sahibi,493873.0292529569,Köy veya Kasaba,Ev ve Mobilya,36989.50954899252,29.502785470389842,Etmiyor,obek_6,49.041958791263724
37,Erkek,31-40,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,969107.2878783996,Küçük Şehir,Elektronik ve Teknolojik Ürünler,32814.49665559574,35.50389753447901,Etmiyor,obek_4,96.97287345971516
38,Erkek,31-40,Bekar,Lise Mezunu,Emekli,296007.96690577315,Küçük Şehir,Elektronik ve Teknolojik Ürünler,7476.473626835394,15.402231561291986,Etmiyor,obek_3,18.130586876204763
39,Erkek,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,227718.68520449125,Köy veya Kasaba,Giyim,4299.479841896865,9.71219168766701,Ediyor,obek_5,109.71601295772169
40,Erkek,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,327841.37780664547,Küçük Şehir,Elektronik ve Teknolojik Ürünler,22854.70273789989,20.82237045672656,Etmiyor,obek_7,96.95942008579448
41,Erkek,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,226346.98888566368,Küçük Şehir,Kozmetik,8560.546498789778,54.96366352210588,Ediyor,obek_8,111.63849080293191
42,Kadın,>60,Evli,Üniversite Mezunu,Emekli,475062.6242021685,Büyük Şehir,Giyim,37839.50692397645,28.020285105998862,Etmiyor,obek_6,43.311768641681226
43,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,225775.18264665443,Kırsal,Kozmetik,5019.29459627396,3.7388541891637126,Etmiyor,obek_1,6.3919146548221
44,Erkek,31-40,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,1062555.0904419022,Büyük Şehir,Giyim,31050.541401218004,40.202692001946886,Etmiyor,obek_4,94.94349569526257
45,Erkek,51-60,Evli,Üniversite Mezunu,Emekli,479729.2426111323,Büyük Şehir,Elektronik ve Teknolojik Ürünler,43752.617138974645,29.742279488199213,Etmiyor,obek_6,58.13666248452472
46,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,220817.76680880605,Köy veya Kasaba,Spor Malzemeleri,4579.476912873804,11.739385984790118,Etmiyor,obek_5,103.80299832194522
47,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,161332.82260228338,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4441.708255388405,11.256740488584844,Etmiyor,obek_5,96.42907624509752
48,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,214066.24762231947,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,4175.333912003786,9.58658120396261,Etmiyor,obek_5,109.13889419448411
49,Kadın,31-40,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,169861.1549016248,Köy veya Kasaba,Giyim,3885.9826965177554,10.221065538923579,Etmiyor,obek_5,102.54730779982775
